"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2006","2006","","AFR","Africa","","ERI","Eritrea","","MLE","Male","","7.8","7.80000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2006","2006","","AFR","Africa","","ERI","Eritrea","","FMLE","Female","","4.6","4.60000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2009","2009","","AFR","Africa","","GHA","Ghana","","MLE","Male","","14.1","14.10000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2009","2009","","AFR","Africa","","GHA","Ghana","","FMLE","Female","","10.6","10.60000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2006","2006","","AFR","Africa","","GHA","Ghana","","MLE","Male","","11.6","11.60000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2006","2006","","AFR","Africa","","GHA","Ghana","","FMLE","Female","","10.9","10.90000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2000","2000","","AFR","Africa","","GHA","Ghana","","MLE","Male","","16.2","16.20000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2000","2000","","AFR","Africa","","GHA","Ghana","","FMLE","Female","","17.4","17.40000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","GIN","Guinea","","MLE","Male","","30.8","30.80000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","GIN","Guinea","","FMLE","Female","","20.0","20.00000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","GNQ","Equatorial Guinea","","MLE","Male","","25.1","25.10000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","GNQ","Equatorial Guinea","","FMLE","Female","","17.3","17.30000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2013","2013","","AFR","Africa","","KEN","Kenya","","MLE","Male","","12.8","12.80000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2013","2013","","AFR","Africa","","KEN","Kenya","","FMLE","Female","","6.7","6.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2007","2007","","AFR","Africa","","KEN","Kenya","","MLE","Male","","14.9","14.90000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2007","2007","","AFR","Africa","","KEN","Kenya","","FMLE","Female","","14.5","14.50000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2001","2001","","AFR","Africa","","KEN","Kenya","","MLE","Male","","14.2","14.20000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2001","2001","","AFR","Africa","","KEN","Kenya","","FMLE","Female","","11.4","11.40000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","LSO","Lesotho","","MLE","Male","","26.4","26.40000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","LSO","Lesotho","","FMLE","Female","","21.7","21.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2002","2002","","AFR","Africa","","LSO","Lesotho","","MLE","Male","","22.4","22.40000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2002","2002","","AFR","Africa","","LSO","Lesotho","","FMLE","Female","","17.7","17.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","MDG","Madagascar","","MLE","Male","","33.2","33.20000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","MDG","Madagascar","","FMLE","Female","","14.3","14.30000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","MLI","Mali","","MLE","Male","","23.1","23.10000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","MLI","Mali","","FMLE","Female","","8.8","8.80000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2009","2009","","AFR","Africa","","MRT","Mauritania","","MLE","Male","","27.5","27.50000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2009","2009","","AFR","Africa","","MRT","Mauritania","","FMLE","Female","","17.7","17.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2006","2006","","AFR","Africa","","MRT","Mauritania","","MLE","Male","","31.5","31.50000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2006","2006","","AFR","Africa","","MRT","Mauritania","","FMLE","Female","","29.5","29.50000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2001","2001","","AFR","Africa","","MRT","Mauritania","","MLE","Male","","28.6","28.60000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2001","2001","","AFR","Africa","","MRT","Mauritania","","FMLE","Female","","19.5","19.50000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","MUS","Mauritius","","MLE","Male","","20.3","20.30000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","MUS","Mauritius","","FMLE","Female","","7.7","7.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2003","2003","","AFR","Africa","","MUS","Mauritius","","MLE","Male","","19.9","19.90000","","","","","Cigarette smoking only"
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2003","2003","","AFR","Africa","","MUS","Mauritius","","FMLE","Female","","7.9","7.90000","","","","","Cigarette smoking only"
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2009","2009","","AFR","Africa","","MWI","Malawi","","MLE","Male","","16.7","16.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2009","2009","","AFR","Africa","","MWI","Malawi","","FMLE","Female","","11.4","11.40000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2005","2005","","AFR","Africa","","MWI","Malawi","","MLE","Male","","19.1","19.10000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2005","2005","","AFR","Africa","","MWI","Malawi","","FMLE","Female","","17.9","17.90000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","NAM","Namibia","","MLE","Male","","31.9","31.90000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","NAM","Namibia","","FMLE","Female","","29.9","29.90000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2004","2004","","AFR","Africa","","NAM","Namibia","","MLE","Male","","32.2","32.20000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2004","2004","","AFR","Africa","","NAM","Namibia","","FMLE","Female","","25.3","25.30000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2009","2009","","AFR","Africa","","NER","Niger","","MLE","Male","","11.8","11.80000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2009","2009","","AFR","Africa","","NER","Niger","","FMLE","Female","","5.6","5.60000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2006","2006","","AFR","Africa","","NER","Niger","","MLE","Male","","15.2","15.20000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2006","2006","","AFR","Africa","","NER","Niger","","FMLE","Female","","8.0","8.00000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2001","2001","","AFR","Africa","","NER","Niger","","MLE","Male","","23.3","23.30000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2001","2001","","AFR","Africa","","NER","Niger","","FMLE","Female","","12.0","12.00000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","RWA","Rwanda","","MLE","Male","","13.3","13.30000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","RWA","Rwanda","","FMLE","Female","","9.5","9.50000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2013","2013","","AFR","Africa","","SEN","Senegal","","MLE","Male","","14.9","14.90000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2013","2013","","AFR","Africa","","SEN","Senegal","","FMLE","Female","","6.2","6.20000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2007","2007","","AFR","Africa","","SEN","Senegal","","MLE","Male","","20.4","20.40000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2007","2007","","AFR","Africa","","SEN","Senegal","","FMLE","Female","","9.6","9.60000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2002","2002","","AFR","Africa","","SEN","Senegal","","MLE","Male","","24.3","24.30000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2002","2002","","AFR","Africa","","SEN","Senegal","","FMLE","Female","","6.9","6.90000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2010","2010","","AFR","Africa","","STP","Sao Tome and Principe","","MLE","Male","","30.7","30.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2010","2010","","AFR","Africa","","STP","Sao Tome and Principe","","FMLE","Female","","22.7","22.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2009","2009","","AFR","Africa","","SWZ","Eswatini","","MLE","Male","","15.8","15.80000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2009","2009","","AFR","Africa","","SWZ","Eswatini","","FMLE","Female","","8.6","8.60000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2005","2005","","AFR","Africa","","SWZ","Eswatini","","MLE","Male","","14.7","14.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2005","2005","","AFR","Africa","","SWZ","Eswatini","","FMLE","Female","","9.0","9.00000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2001","2001","","AFR","Africa","","SWZ","Eswatini","","MLE","Male","","16.5","16.50000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2001","2001","","AFR","Africa","","SWZ","Eswatini","","FMLE","Female","","7.7","7.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2007","2007","","AFR","Africa","","SYC","Seychelles","","MLE","Male","","27.1","27.10000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2007","2007","","AFR","Africa","","SYC","Seychelles","","FMLE","Female","","25.3","25.30000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2002","2002","","AFR","Africa","","SYC","Seychelles","","MLE","Male","","33.4","33.40000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2002","2002","","AFR","Africa","","SYC","Seychelles","","FMLE","Female","","24.9","24.90000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","TCD","Chad","","MLE","Male","","20.9","20.90000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2008","2008","","AFR","Africa","","TCD","Chad","","FMLE","Female","","13.9","13.90000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2013","2013","","AFR","Africa","","TGO","Togo","","MLE","Male","","11.3","11.30000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2013","2013","","AFR","Africa","","TGO","Togo","","FMLE","Female","","4.3","4.30000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2007","2007","","AFR","Africa","","TGO","Togo","","MLE","Male","","17.7","17.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2007","2007","","AFR","Africa","","TGO","Togo","","FMLE","Female","","7.9","7.90000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2002","2002","","AFR","Africa","","TGO","Togo","","MLE","Male","","19.6","19.60000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2002","2002","","AFR","Africa","","TGO","Togo","","FMLE","Female","","9.7","9.70000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2011","2011","","AFR","Africa","","UGA","Uganda","","MLE","Male","","19.3","19.30000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2011","2011","","AFR","Africa","","UGA","Uganda","","FMLE","Female","","15.8","15.80000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2007","2007","","AFR","Africa","","UGA","Uganda","","MLE","Male","","17.3","17.30000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2007","2007","","AFR","Africa","","UGA","Uganda","","FMLE","Female","","15.3","15.30000","","","","",""
"TOBACCO_0000000344","Prevalence of current tobacco use among adolescents aged 13-15 years","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298","PUBLISHED","Published","","2011","2011","","AFR","Africa","","ZAF","South Africa","","MLE","Male","","24.3","24.30000","","","","",""
